,Smiles,C18-TFA,C18-NH4,CN-TFA,CN-NH4,Phen-TFA,Phen-NH4,AQ-TFA,AQ-NH4
276,CN1N=CC=C1CN2C[C@@H](F)C[C@H]2CO,0.19099999999999995,1.1600000000000001,0.05700000000000005,1.169,0.31900000000000006,1.282,0.19699999999999995,1.3409999999999997
277,OC(=O)C1CCCCCC1NC(=O)C2CC=CC2,2.306,1.4290000000000003,2.209,0.661,2.3569999999999998,1.471,2.443,1.3889999999999998
278,CNCC1CCCN1C(=O)C=2C=CC=C(F)C2Cl,1.721,1.492,1.533,4.4399999999999995,1.859,1.799,1.815,3.113
279,CN1C(=O)C=2C=CC=CC2C(C)(C)C1=O,3.088,3.083,2.728,2.741,3.015,3.02,3.1819999999999995,3.2219999999999995
280,O=S(=O)(NC1CCCC1)C=2C=CC=C(C#N)C2,3.068,3.071,2.965,2.973,3.147,3.143,3.1799999999999997,3.2039999999999997
281,CC=1C=CC(C)=C(C1)S(=O)(=O)NC=2C=CC=CN2,2.4050000000000002,2.431,2.278,2.307,2.487,2.485,2.55,2.6029999999999998
282,NCC1CCN(C1)C(=O)C=2C=C(F)C(F)=C(F)C2,1.4940000000000002,1.295,1.111,2.486,1.6280000000000001,1.5219999999999998,1.5899999999999999,2.033
283,CC=1C=CC(=CC1C)C2CCCN2C(=O)CN,1.9730000000000003,2.0100000000000002,1.779,3.6860000000000004,2.076,2.167,2.104,3.202
284,CC(=O)NC1CCS(=O)(=O)C=2C=CC=CC12,1.15,1.1560000000000001,1.291,1.3130000000000002,1.3689999999999998,1.3820000000000001,1.303,1.358
285,O=C(NC1=NC(=CS1)C2CC2)C3CC43CCNCC4,1.6920000000000002,1.5710000000000002,1.612,4.561,1.7890000000000001,1.8319999999999999,1.815,3.1109999999999998
286,CNC(=O)CN1CCCC1C=2C=CC=CC2,1.108,2.709,0.853,2.647,1.205,2.751,1.158,3.017
287,ClC=1C=NC=CC1C(=O)NC2(CCSCC2)C#N,2.12,2.19,2.235,2.286,2.303,2.3689999999999998,2.304,2.386
288,CN(C)S(=O)(=O)C=1C(C)=NOC1C,2.2800000000000002,2.291,2.123,2.1350000000000002,2.399,2.406,2.401,2.423
